M00918	V$E2F_Q3_01	242705	E2f2
M00918	V$E2F_Q3_01	50496	E2f6
M00918	V$E2F_Q3_01	52679	E2f7
M00919	V$E2F_Q4_01	104394	E2f4
M00919	V$E2F_Q4_01	13555	E2f1
M00919	V$E2F_Q4_01	13557	E2f3
M00919	V$E2F_Q4_01	13559	E2f5
M00919	V$E2F_Q4_01	242705	E2f2
M00919	V$E2F_Q4_01	50496	E2f6
M00919	V$E2F_Q4_01	52679	E2f7
M00920	V$E2F_Q6_01	104394	E2f4
M00920	V$E2F_Q6_01	13555	E2f1
M00920	V$E2F_Q6_01	13557	E2f3
M00920	V$E2F_Q6_01	13559	E2f5
M00920	V$E2F_Q6_01	242705	E2f2
M00920	V$E2F_Q6_01	50496	E2f6
M00920	V$E2F_Q6_01	52679	E2f7
M00921	V$GR_Q6_01	14815	Nr3c1
M00922	V$SRF_Q5_01	20807	Srf
M00924	V$AP1_Q2_01	14281	Fos
M00924	V$AP1_Q2_01	14282	Fosb
M00924	V$AP1_Q2_01	14283	Fosl1
M00924	V$AP1_Q2_01	14284	Fosl2
M00924	V$AP1_Q2_01	16476	Jun
M00924	V$AP1_Q2_01	16477	Junb
M00924	V$AP1_Q2_01	16478	Jund
M00925	V$AP1_Q6_01	14281	Fos
M00925	V$AP1_Q6_01	14282	Fosb
M00925	V$AP1_Q6_01	14283	Fosl1
M00925	V$AP1_Q6_01	14284	Fosl2
M00925	V$AP1_Q6_01	16476	Jun
M00925	V$AP1_Q6_01	16477	Junb
M00925	V$AP1_Q6_01	16478	Jund
M00926	V$AP1_Q4_01	14281	Fos
M00926	V$AP1_Q4_01	14282	Fosb
M00926	V$AP1_Q4_01	14283	Fosl1
M00926	V$AP1_Q4_01	14284	Fosl2
M00926	V$AP1_Q4_01	16476	Jun
M00926	V$AP1_Q4_01	16477	Junb
M00926	V$AP1_Q4_01	16478	Jund
M00929	V$MYOD_Q6_01	17927	Myod1
M00929	V$MYOD_Q6_01	17928	Myog
M00929	V$MYOD_Q6_01	21423	Tcfe2a
M00930	V$OCT1_Q5_01	18986	Pou2f1
M00931	V$SP1_Q6_01	20683	Sp1
M00931	V$SP1_Q6_01	20688	Sp4
M00933	V$SP1_Q2_01	20683	Sp1
M00935	V$NFAT_Q4_01	18018	Nfatc1
M00935	V$NFAT_Q4_01	18019	Nfatc2
M00939	V$E2F1_Q4_01	104394	E2f4
M00939	V$E2F1_Q4_01	13555	E2f1
M00939	V$E2F1_Q4_01	13557	E2f3
M00939	V$E2F1_Q4_01	13559	E2f5
M00939	V$E2F1_Q4_01	242705	E2f2
M00939	V$E2F1_Q4_01	50496	E2f6
M00939	V$E2F1_Q4_01	52679	E2f7
M00940	V$E2F1_Q6_01	13555	E2f1
M00941	V$MEF2_Q6_01	17258	Mef2a
M00941	V$MEF2_Q6_01	17260	Mef2c
M00947	V$CP2_02	21422	Tcfcp2
M00959	V$ER_Q6_02	13982	Esr1
M00959	V$ER_Q6_02	13983	Esr2
M00960	V$PR_Q2	14815	Nr3c1
M00960	V$PR_Q2	18667	Pgr
M00961	V$VDR_Q6	22337	Vdr
M00962	V$AR_Q6	11835	Ar
M00963	V$T3R_Q6	19411	Rarg
M00963	V$T3R_Q6	20181	Rxra
M00963	V$T3R_Q6	20182	Rxrb
M00963	V$T3R_Q6	20183	Rxrg
M00963	V$T3R_Q6	21833	Thra
M00964	V$PXR_Q2	12355	Nr1i3
M00964	V$PXR_Q2	18171	Nr1i2
M00964	V$PXR_Q2	20181	Rxra
M00964	V$PXR_Q2	20186	Nr1h4
M00964	V$PXR_Q2	22259	Nr1h3
M00965	V$DR4_Q2	12355	Nr1i3
M00965	V$DR4_Q2	13865	Nr2f1
M00965	V$DR4_Q2	18171	Nr1i2
M00965	V$DR4_Q2	19411	Rarg
M00965	V$DR4_Q2	20181	Rxra
M00965	V$DR4_Q2	22259	Nr1h3
M00965	V$DR4_Q2	22260	Nr1h2
M00966	V$DR3_Q4	12355	Nr1i3
M00966	V$DR3_Q4	18171	Nr1i2
M00966	V$DR3_Q4	20181	Rxra
M00966	V$DR3_Q4	20182	Rxrb
M00966	V$DR3_Q4	22337	Vdr
M00967	V$HNF4_Q6	13865	Nr2f1
M00967	V$HNF4_Q6	15378	Hnf4a
M00971	V$ETS_Q6	13709	Elf1
M00971	V$ETS_Q6	13713	Elk3
M00971	V$ETS_Q6	14247	Fli1
M00971	V$ETS_Q6	14390	Gabpa
M00971	V$ETS_Q6	14391	Gabpb1
M00971	V$ETS_Q6	18612	Etv4
M00971	V$ETS_Q6	20375	Sfpi1
M00971	V$ETS_Q6	23871	Ets1
M00971	V$ETS_Q6	23872	Ets2
M00972	V$IRF_Q6_01	15900	Irf8
M00972	V$IRF_Q6_01	16362	Irf1
M00972	V$IRF_Q6_01	16363	Irf2
M00972	V$IRF_Q6_01	16364	Irf4
M00972	V$IRF_Q6_01	16391	Irf9
M00972	V$IRF_Q6_01	27056	Irf5
M00972	V$IRF_Q6_01	54123	Irf7
M00972	V$IRF_Q6_01	54131	Irf3
M00973	V$E2A_Q6	17172	Ascl1
M00973	V$E2A_Q6	17877	Myf5
M00973	V$E2A_Q6	17878	Myf6
M00973	V$E2A_Q6	17927	Myod1
M00973	V$E2A_Q6	17928	Myog
M00973	V$E2A_Q6	21423	Tcfe2a
M00974	V$SMAD_Q6_01	17125	Smad1
M00974	V$SMAD_Q6_01	17126	Smad2
M00974	V$SMAD_Q6_01	17127	Smad3
M00974	V$SMAD_Q6_01	17128	Smad4
M00974	V$SMAD_Q6_01	17129	Smad5
M00974	V$SMAD_Q6_01	17130	Smad6
M00974	V$SMAD_Q6_01	17131	Smad7
M00974	V$SMAD_Q6_01	55994	Smad9
M00975	V$RFX_Q6	170767	Rfxap
M00975	V$RFX_Q6	19724	Rfx1
M00975	V$RFX_Q6	19725	Rfx2
M00975	V$RFX_Q6	19726	Rfx3
M00975	V$RFX_Q6	19727	Rfxank
M00975	V$RFX_Q6	53970	Rfx5
M00976	V$AHRHIF_Q6	11622	Ahr
M00976	V$AHRHIF_Q6	11624	Ahrr
M00976	V$AHRHIF_Q6	11863	Arnt
M00976	V$AHRHIF_Q6	15251	Hif1a
M00977	V$EBF_Q6	13591	Ebf1
M00977	V$EBF_Q6	13592	Ebf2
M00977	V$EBF_Q6	13593	Ebf3
M00978	V$LEF1TCF1_Q4	16842	Lef1
M00978	V$LEF1TCF1_Q4	21414	Tcf7
M00979	V$PAX6_Q2	18508	Pax6
M00980	V$TBP_Q6	21374	Tbp
M00981	V$CREBATF_Q6	11908	Atf1
M00981	V$CREBATF_Q6	11909	Atf2
M00981	V$CREBATF_Q6	11910	Atf3
M00981	V$CREBATF_Q6	11911	Atf4
M00981	V$CREBATF_Q6	12912	Creb1
M00981	V$CREBATF_Q6	12916	Crem
M00982	V$KROX_Q6	13653	Egr1
M00982	V$KROX_Q6	13654	Egr2
M00982	V$KROX_Q6	13655	Egr3
M00983	V$MAF_Q6_01	12013	Bach1
M00983	V$MAF_Q6_01	12014	Bach2
M00983	V$MAF_Q6_01	16658	Mafb
M00983	V$MAF_Q6_01	17132	Maf
M00983	V$MAF_Q6_01	17133	Maff
M00983	V$MAF_Q6_01	17134	Mafg
M00983	V$MAF_Q6_01	17135	Mafk
M00983	V$MAF_Q6_01	18022	Nfe2
M00983	V$MAF_Q6_01	18023	Nfe2l1
M00983	V$MAF_Q6_01	18024	Nfe2l2
M00983	V$MAF_Q6_01	18025	Nfe2l3
M00984	V$PEBP_Q6	12393	Runx2
M00984	V$PEBP_Q6	12394	Runx1
M00984	V$PEBP_Q6	12399	Runx3
M00984	V$PEBP_Q6	12400	Cbfb
